Filename,Authors,Dates,Touch Count
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"Scott Alexander-Bown, grubeli, Scott Alexander-Bown, Scott Alexander-Bown, Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-11-16T14:04:57Z, 2021-05-24T07:46:20Z, 2021-05-24T07:45:07Z, 2021-05-21T14:40:38Z, 2021-05-08T14:18:37Z",6
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,"Scott Alexander-Bown, Artsem Kurantsou, Artsem Kurantsou, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2024-08-05T18:31:03Z, 2024-08-04T19:40:34Z, 2021-05-08T14:18:37Z",4
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,"Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z",2
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,"Scott Alexander-Bown, Artsem Kurantsou, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2024-08-04T19:40:34Z, 2021-05-08T14:18:37Z",3
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,"Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z",2
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,"Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z",2
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,"Scott Alexander-Bown, Artsem Kurantsou, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2024-08-04T19:40:34Z, 2021-05-08T14:18:37Z",3
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,"Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z",2
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,"Scott Alexander-Bown, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z",2
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,"Scott Alexander-Bown, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Mohammed Ezzat, Scott Alexander-Bown","2024-09-12T10:16:21Z, 2021-05-08T14:18:37Z, 2019-03-14T12:24:58Z, 2016-03-16T14:05:46Z, 2016-03-15T13:13:43Z, 2015-06-30T14:14:08Z",6
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown","2021-05-24T07:35:11Z, 2021-05-08T14:18:37Z, 2019-03-14T12:24:58Z, 2017-03-29T11:18:37Z, 2015-06-30T14:45:20Z, 2015-06-30T14:36:54Z, 2015-06-30T14:14:20Z, 2015-06-30T14:14:02Z, 2015-06-26T15:57:05Z, 2015-06-26T15:50:40Z",10
rootbeerlib/src/main/cpp/toolChecker.cpp,Scott Alexander-Bown,2021-05-22T13:42:21Z,1
rootbeerlib/src/main/cpp/toolChecker.h,Scott Alexander-Bown,2021-05-22T13:42:21Z,1
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,"Scott Alexander-Bown, Matthew Rollings, Daniel Kutik, Matthew Rollings, Matthew Rollings, altvnv, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown, Andy Barber","2021-05-08T14:18:37Z, 2020-02-03T20:42:40Z, 2019-11-16T02:39:54Z, 2019-03-14T12:24:58Z, 2018-03-20T17:57:33Z, 2018-03-16T16:42:19Z, 2017-03-29T11:18:37Z, 2017-02-15T12:53:36Z, 2016-07-01T20:13:06Z, 2016-07-01T14:25:44Z, 2016-07-01T14:40:45Z",11
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,"Scott Alexander-Bown, Matthew Rollings, Daniel Kutik, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Andy Barber, Scott Alexander-Bown, Mohammed Ezzat, Scott Alexander-Bown, Scott Alexander-Bown, Scott Alexander-Bown, Scott Alexander-Bown, Scott Alexander-Bown","2021-05-08T14:18:37Z, 2020-02-03T20:42:40Z, 2019-11-16T02:34:24Z, 2017-03-24T14:16:12Z, 2017-03-24T13:41:16Z, 2016-07-01T20:13:52Z, 2016-07-01T14:40:45Z, 2016-04-01T15:04:36Z, 2016-03-16T14:14:44Z, 2015-09-16T12:14:10Z, 2015-06-30T14:45:12Z, 2015-06-30T14:14:08Z, 2015-06-29T13:06:14Z, 2015-06-26T15:50:40Z",14
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,"Scott Alexander-Bown, Matthew Rollings, Daniel Kutik, Daniel Kutik, Matthew Rollings, Frieder Bluemle, Andy Barber","2021-05-08T14:18:37Z, 2020-02-03T20:42:40Z, 2019-11-16T02:39:54Z, 2019-11-16T02:34:24Z, 2017-05-12T21:31:11Z, 2017-05-11T16:55:33Z, 2016-07-01T14:40:45Z",7
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,"Scott Alexander-Bown, Fi5t, Daniel Kutik, Matthew Rollings, mat, Matthew Rollings, mat, Ivan Vlasov, Matthew Rollings, Matthew Rollings, altvnv, altvnv, altvnv, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Mohammed Ezzat, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown","2021-05-08T14:18:37Z, 2020-07-15T20:47:49Z, 2020-01-31T00:54:28Z, 2020-01-30T16:17:56Z, 2020-01-30T13:09:02Z, 2020-01-30T13:05:03Z, 2020-01-28T14:06:12Z, 2019-12-09T10:32:18Z, 2019-03-14T12:24:58Z, 2018-03-20T17:57:33Z, 2018-03-16T16:42:19Z, 2018-03-16T12:02:21Z, 2018-03-16T11:36:53Z, 2017-03-24T14:16:12Z, 2017-03-24T13:30:47Z, 2016-03-16T14:05:46Z, 2016-03-15T13:13:43Z, 2015-09-16T12:13:36Z, 2015-06-30T15:06:34Z, 2015-06-30T14:59:48Z, 2015-06-30T14:14:20Z, 2015-06-30T13:40:46Z, 2015-06-29T13:06:59Z, 2015-06-26T15:50:40Z",24
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,"Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Daniel Kutik, mat, Matthew Rollings, mat, Daniel Kutik, Matthew Rollings, Matthew Rollings, Matthew Rollings, Matthew Rollings, matthew","2021-05-08T14:18:37Z, 2020-02-03T20:42:40Z, 2020-02-03T20:42:27Z, 2020-01-31T00:54:28Z, 2020-01-30T16:12:36Z, 2020-01-30T13:05:20Z, 2020-01-28T13:03:18Z, 2019-11-16T02:34:24Z, 2019-03-14T12:24:58Z, 2018-06-14T15:53:38Z, 2018-05-11T13:16:33Z, 2018-05-11T11:04:52Z, 2017-10-31T18:57:32Z",13
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,"Slim Namouchi, Matthew Rollings, Matthew Rollings, mat, Daniel Kutik, Matthew Rollings, Matthew Rollings, mat, mat, mat, Ivan Vlasov, Matthew Rollings, Matthew Rollings, Matthew Rollings, Matthew Rollings, Matthew Rollings, Matthew Rollings, Matthew Rollings, altvnv, altvnv, altvnv, Matthew Rollings, Frieder Bluemle, Ali Waseem, LeonKarabchevsky, BIOCATCH\Leon.Karabchevsky, Matthew Rollings, vyas, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Matthew Rollings, leocadiotine, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Mohammed Ezzat, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown","2020-07-21T13:19:44Z, 2020-07-21T13:10:44Z, 2020-02-07T14:44:11Z, 2020-02-07T09:43:09Z, 2020-01-31T00:54:28Z, 2020-01-30T13:05:20Z, 2020-01-30T13:05:03Z, 2020-01-28T14:06:12Z, 2020-01-28T13:03:18Z, 2020-01-28T12:41:49Z, 2019-12-09T10:32:18Z, 2019-03-14T12:24:58Z, 2018-06-14T15:53:38Z, 2018-05-11T12:00:38Z, 2018-05-11T12:00:38Z, 2018-05-11T11:04:28Z, 2018-05-11T10:59:44Z, 2018-03-20T17:57:33Z, 2018-03-16T16:49:07Z, 2018-03-16T16:42:19Z, 2018-03-16T12:14:23Z, 2017-09-29T08:23:05Z, 2017-08-19T16:20:33Z, 2017-08-11T15:34:54Z, 2017-06-11T14:34:20Z, 2017-06-07T07:53:52Z, 2017-05-12T21:21:12Z, 2017-05-10T19:44:29Z, 2017-03-29T11:18:37Z, 2017-03-24T16:11:58Z, 2017-03-24T14:16:12Z, 2017-03-24T13:31:19Z, 2017-03-13T22:05:11Z, 2017-02-15T12:53:36Z, 2016-09-14T21:25:21Z, 2016-05-17T15:20:15Z, 2016-04-18T16:36:03Z, 2016-03-16T14:05:46Z, 2016-03-15T13:13:43Z, 2015-12-30T16:22:10Z, 2015-12-22T10:17:02Z, 2015-12-22T10:11:09Z, 2015-12-22T09:06:26Z, 2015-12-21T20:44:58Z, 2015-12-21T20:43:55Z, 2015-06-30T14:45:20Z, 2015-06-30T14:45:12Z, 2015-06-30T14:36:54Z, 2015-06-30T14:14:20Z, 2015-06-30T14:14:08Z, 2015-06-30T14:14:02Z, 2015-06-29T13:06:59Z, 2015-06-26T15:50:40Z",53
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,"Matthew Rollings, mat, Matthew Rollings, matthew, Frieder Bluemle, Matthew Rollings, Frieder Bluemle, Matthew Rollings, Scott Alexander-Bown, Mohammed Ezzat, Scott Alexander-Bown, Scott Alexander-Bown","2020-02-07T14:44:11Z, 2020-02-07T09:43:09Z, 2018-05-11T11:04:52Z, 2017-10-31T18:57:32Z, 2017-08-19T16:20:33Z, 2017-05-12T21:31:11Z, 2017-05-11T16:41:00Z, 2017-02-15T12:53:36Z, 2016-03-16T14:05:46Z, 2016-03-15T13:13:43Z, 2015-06-26T18:48:49Z, 2015-06-26T15:50:40Z",12
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,"Matthew Rollings, Daniel Kutik, Daniel Kutik, Matthew Rollings, Frieder Bluemle, Scott Alexander-Bown","2020-02-03T20:42:40Z, 2019-11-16T02:45:47Z, 2019-11-16T02:34:24Z, 2017-05-12T21:31:11Z, 2017-05-11T16:41:00Z, 2015-06-26T15:50:40Z",6
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,"Matthew Rollings, Daniel Kutik, Daniel Kutik, Matthew Rollings, Frieder Bluemle, Scott Alexander-Bown","2020-02-03T20:42:40Z, 2019-11-16T02:45:47Z, 2019-11-16T02:34:24Z, 2017-05-12T21:31:11Z, 2017-05-11T16:41:00Z, 2015-06-26T15:50:40Z",6
rootbeerlib/src/main/jni/toolChecker.cpp,"Matthew Rollings, Frieder Bluemle, Matthew Rollings, matthew, matthew","2017-05-12T21:31:11Z, 2017-05-11T16:41:00Z, 2017-03-24T14:49:14Z, 2017-03-13T22:55:31Z, 2017-03-13T22:35:27Z",5
rootbeerlib/src/main/jni/toolChecker.h,"Matthew Rollings, Frieder Bluemle, Matthew Rollings, matthew","2017-05-12T21:31:11Z, 2017-05-11T16:41:00Z, 2017-03-24T14:49:14Z, 2017-03-13T22:35:27Z",4
rootbeerlib/jni/toolChecker.cpp,"aippisch, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown","2016-09-16T14:04:45Z, 2015-06-30T14:45:20Z, 2015-06-30T14:36:54Z, 2015-06-30T14:14:20Z, 2015-06-30T14:14:02Z, 2015-06-30T13:04:08Z, 2015-06-30T12:58:19Z, 2015-06-26T16:10:45Z, 2015-06-26T15:50:40Z",9
rootbeerlib/jni/toolChecker.h,"Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Matthew Rollings, Scott Alexander-Bown","2015-06-30T14:45:20Z, 2015-06-30T14:36:54Z, 2015-06-30T14:14:20Z, 2015-06-30T14:14:02Z, 2015-06-26T16:10:45Z, 2015-06-26T15:50:40Z",6
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,"Matthew Rollings, Matthew Rollings, Scott Alexander-Bown, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown","2015-06-26T14:41:45Z, 2015-06-26T14:32:45Z, 2015-06-19T17:21:37Z, 2015-06-19T17:20:07Z, 2015-06-19T10:09:22Z, 2015-06-19T09:05:10Z",6
app/src/main/java/com/scottyab/rootchecker/Const.java,Matthew Rollings,2015-06-26T14:32:45Z,1
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,"Matthew Rollings, Scott Alexander-Bown, Matthew Rollings, Scott Alexander-Bown","2015-06-26T14:32:45Z, 2015-06-19T17:21:37Z, 2015-06-19T10:09:22Z, 2015-06-19T09:05:10Z",4
app/jni/toolChecker.cpp,"Scott Alexander-Bown, Matthew Rollings","2015-06-19T17:21:37Z, 2015-06-19T11:06:02Z",2
app/jni/toolChecker.h,"Scott Alexander-Bown, Matthew Rollings","2015-06-19T17:21:37Z, 2015-06-19T11:06:02Z",2
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,"Scott Alexander-Bown, Matthew Rollings, Matthew Rollings","2015-06-19T17:21:37Z, 2015-06-19T11:06:02Z, 2015-06-19T10:09:22Z",3
app/jni/rootChecker.cpp,Matthew Rollings,2015-06-19T10:09:22Z,1
app/jni/rootChecker.h,Matthew Rollings,2015-06-19T10:09:22Z,1
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,Scott Alexander-Bown,2015-06-19T09:05:10Z,1
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,Scott Alexander-Bown,2015-06-19T09:05:10Z,1
